rowid,poi_name,geography,latitude,longitude,geocoded_name,display_name,place_type,category,parking_facility_name,parking_confidence,parking_source,address,osm_id,error
1,Daikin Park,Houston,29.7573693,-95.355078,Daikin Park,"Daikin Park, 501, Crawford Street, Downtown, Houston, Harris County, Texas, 77004, United States",stadium,,,none,,"501, Crawford Street, Houston, Texas, 77004",129025430,
2,Hilton,Houston,29.7513658,-95.3606982,Hilton Americas-Houston,"Hilton Americas-Houston, 1600, Lamar Street, Downtown, Houston, Harris County, Texas, 77010, United States",hotel,,,none,,"1600, Lamar Street, Houston, Texas, 77010",44504151,
3,Marriott Marquis Houston,Houston,29.7544633,-95.3580685,,"Walker Street, Downtown, Houston, Harris County, Texas, 77010, United States",swimming_pool,,,none,,"Walker Street, Houston, Texas, 77010",1274734848,
4,Toyota Center,Houston,29.7507716,-95.3621364,Toyota Center,"Toyota Center, 1510, Polk Street, Downtown, Houston, Harris County, Texas, 77010, United States",stadium,,Toyota Center Parking,assumed,business_type,"1510, Polk Street, Houston, Texas, 77010",25312761,
5,Hilton Americas Valet and Self Parking,Houston,29.7514407,-95.3606615,Hilton Americas-Houston,"Hilton Americas-Houston, 1600, Lamar Street, Downtown, Houston, Harris County, Texas, 77010, United States",hotel,,Hilton Americas Valet and Self Parking,high,poi_name,"1600, Lamar Street, Houston, Texas, 77010",44504151,
6,"The Laura Hotel, Houston Downtown, Autograph Collection",Houston,29.7549482,-95.3655839,The Laura Hotel,"The Laura Hotel, 1070, Dallas Street, Downtown, Houston, Harris County, Texas, 77002, United States",hotel,,"The Laura Hotel, Houston Downtown, Autograph Collection Parking",assumed,business_type,"1070, Dallas Street, Houston, Texas, 77002",4645036,
7,Hyatt Regency Houston Downtown,Houston,29.7568105,-95.3695218,Hyatt Regency Houston,"Hyatt Regency Houston, 1200, Louisiana Street, Downtown, Houston, Harris County, Texas, 77002, United States",hotel,,,none,,"1200, Louisiana Street, Houston, Texas, 77002",45591857,
8,"C. Baldwin, Curio Collection by Hilton",Houston,29.7579719,-95.3710878,One Allen Center,"One Allen Center, 500, Dallas Street, Downtown, Houston, Harris County, Texas, 77002, United States",commercial,,,none,,"500, Dallas Street, Houston, Texas, 77002",1118713569,
9,JW Marriott Houston Downtown,Houston,29.7584062,-95.3641265,JW Marriott Houston Downtown,"JW Marriott Houston Downtown, 806, Main Street, Downtown, Houston, Harris County, Texas, 77002, United States",hotel,,,none,,"806, Main Street, Houston, Texas, 77002",510322326,
10,"Magnolia Hotel Houston, a Tribute Portfolio Hotel",Houston,29.7591208,-95.3617021,"Magnolia Hotel Houston, a Tribute Portfolio Hotel","Magnolia Hotel Houston, a Tribute Portfolio Hotel, 1100, Texas Avenue, Downtown, Houston, Harris County, Texas, 77002, United States",hotel,,"Magnolia Hotel Houston, a Tribute Portfolio Hotel Parking",assumed,business_type,"1100, Texas Avenue, Houston, Texas, 77002",510322089,
11,Four Seasons,Houston,29.7540641,-95.3627686,Four Seasons Hotel Houston,"Four Seasons Hotel Houston, 1300, Lamar Street, Downtown, Houston, Harris County, Texas, 77010, United States",hotel,,,none,,"1300, Lamar Street, Houston, Texas, 77010",79451520,
