rowid,poi_name,geography,latitude,longitude,geocoded_name,display_name,place_type,category,parking_facility_name,parking_confidence,parking_source,address,osm_id,error
1,Sheraton,South_Bay,37.4412244,-122.1634683,Sheraton Palo Alto,"Sheraton Palo Alto, 625, El Camino Real, Palo Alto, Santa Clara County, California, 94301, United States",hotel,,Sheraton Parking,assumed,business_type,"625, El Camino Real, Palo Alto, California, 94301",1714380,
2,Shoreline Amphitheatre,South_Bay,37.4267776,-122.0806993,Shoreline Amphitheatre,"Shoreline Amphitheatre, 1, Amphitheatre Parkway, Mountain View, Santa Clara County, California, 94043, United States",theatre,,Shoreline Amphitheatre Parking,assumed,business_type,"1, Amphitheatre Parkway, Mountain View, California, 94043",23630706,
3,The Westin,South_Bay,37.4407151,-122.162683,Westin Palo Alto,"Westin Palo Alto, 691, El Camino Real, Palo Alto, Santa Clara County, California, 94301, United States",hotel,,The Westin Parking,assumed,business_type,"691, El Camino Real, Palo Alto, California, 94301",126322085,
4,Shashi Hotel,South_Bay,37.4168998,-122.0770127,Shashi Hotel,"Shashi Hotel, 1625, North Shoreline Boulevard, Google, Mountain View, Santa Clara County, California, 94043, United States",hotel,,Shashi Hotel Parking,assumed,business_type,"1625, North Shoreline Boulevard, Mountain View, California, 94043",16198221,
5,Four Seasons Hotel Silicon Valley,South_Bay,37.4602265,-122.1420148,Four Seasons Silicon Valley,"Four Seasons Silicon Valley, 2050, University Avenue, East Palo Alto, San Mateo County, California, 94303, United States",hotel,,Four Seasons Hotel Silicon Valley Parking,assumed,business_type,"2050, University Avenue, California, 94303",35762770,
6,Ameswell Hotel,South_Bay,37.4070826,-122.0670288,Ameswell Hotel,"Ameswell Hotel, 800, Moffett Boulevard, Mountain View, Santa Clara County, California, 94043, United States",hotel,,Ameswell Hotel Parking,assumed,business_type,"800, Moffett Boulevard, Mountain View, California, 94043",731230136,
7,Hyatt Centric Mountain View,South_Bay,37.403807,-122.1100306,Hyatt Centric Mountain View,"Hyatt Centric Mountain View, 409, San Antonio Road, Castro City, Mountain View, Santa Clara County, California, 94040, United States",hotel,,Hyatt Centric Mountain View Parking,assumed,business_type,"409, San Antonio Road, Castro City, Mountain View, California, 94040",609002022,
8,Hilton Garden Inn Palo Alto,South_Bay,37.4093052,-122.1230535,Hilton Garden Inn Palo Alto,"Hilton Garden Inn Palo Alto, 4216, El Camino Real, Ventura, Palo Alto, Santa Clara County, California, 94306, United States",hotel,,Hilton Garden Inn Palo Alto Parking,assumed,business_type,"4216, El Camino Real, Ventura, Palo Alto, California, 94306",353332919,
9,"Hotel Citrine, Palo Alto, A Tribute Portfolio Hotel",South_Bay,37.4179147,-122.1019481,"Hotel Citrine, Palo Alto","Hotel Citrine, Palo Alto, 748, San Antonio Road, Palo Alto, Santa Clara County, California, 94303, United States",hotel,,"Hotel Citrine, Palo Alto, A Tribute Portfolio Hotel Parking",assumed,business_type,"748, San Antonio Road, Palo Alto, California, 94303",10269124315,
10,Apple Park Visitor Center,South_Bay,37.3328347,-122.0053931,Apple Park,"Apple Park, 1, Apple Park Way, Cupertino, Santa Clara County, California, 94087, United States",it,,Apple Park Visitor Center Parking,assumed,business_type,"1, Apple Park Way, Cupertino, California, 94087",38789619,
11,AC Hotel Palo Alto,South_Bay,37.417292,-122.1021042,,"San Antonio Road, Palo Alto, Santa Clara County, California, 94043, United States",parking,,Parking Facility,medium,osm_category,"San Antonio Road, Palo Alto, California, 94043",124804192,
12,AC Hotel Sunnyvale Cupertino,South_Bay,37.3626951,-122.0250656,AC Hotel Sunnyvale,"AC Hotel Sunnyvale, 597, East El Camino Real, Sunnyvale, Santa Clara County, California, 94087, United States",hotel,,AC Hotel Sunnyvale Cupertino Parking,assumed,business_type,"597, East El Camino Real, Sunnyvale, California, 94087",885316336,
13,Uber Sunnyvale,South_Bay,37.3771376,-122.0336909,Broadcom,"Broadcom, 190, Mathilda Place, Sunnyvale, Santa Clara County, California, 94086, United States",yes,,,none,,"190, Mathilda Place, Sunnyvale, California, 94086",30827954,
14,Courtyard Palo Alto Los Altos,South_Bay,37.4047681,-122.1191427,Courtyard,"Courtyard, 4320, El Camino Real, Ventura, Los Altos, Santa Clara County, California, 94022, United States",hotel,,Courtyard Palo Alto Los Altos Parking,assumed,business_type,"4320, El Camino Real, Ventura, California, 94022",232377952,
15,Caltrain Lawrence Station,South_Bay,37.3705601,-121.9970167,Lawrence,"Lawrence, Willow Avenue, Sunnyvale, Santa Clara County, California, 94088, United States",station,,,none,,"Willow Avenue, Sunnyvale, California, 94088",2160213352,
16,Crowne Plaza Palo Alto,South_Bay,37.4058671,-122.1216735,,"4290, El Camino Real, Ventura, Palo Alto, Santa Clara County, California, 94306, United States",yes,,,none,,"4290, El Camino Real, Ventura, Palo Alto, California, 94306",3119956,
17,The Stanford Park Hotel,South_Bay,37.4478949,-122.172181,Stanford Park Hotel,"Stanford Park Hotel, El Camino Real, Menlo Park, San Mateo County, California, 94025, United States",hotel,,The Stanford Park Hotel Parking,assumed,business_type,"El Camino Real, California, 94025",112257534,
